id,idWord,idTranslation,idCategory,id,name,langId,transcription,id,name,langId,transcription
43319,40037,92997,1,40037,'keep,1,,92997,"""""tenu",0,
38130,35857,90806,1,35857,'you'll,1,,90806,"""""vi",0,
78637,67735,107088,1,67735,'she,1,,107088,"""""ŝi",0,
19092,21254,82534,1,21254,rooted,1, [ ' r u : t ɪ d ],82534,#enradiki,0,
39919,37318,91586,1,37318,gossiping,1,,91586,#kla,0,
62214,54960,100674,1,54960,thrills,1,,100674,#ravi,0,
29752,29543,87252,1,29543,''tis,1,,87252,'' tis,0,
84677,72496,109418,1,72496,'ands,1,,109418,'_ands_,0,
30436,30058,87541,1,30058,'st,1,,87541,'a,0,
30544,30146,87586,1,30146,'a',1,,87586,'a',0,
30442,30062,87544,1,30062,'to,1,,87544,'al,0,
82398,70725,108544,1,70725,'alf,1,,108544,'alf,0,
68703,60033,103228,1,60033,'another,1,,103228,'alia,0,
49471,44843,95504,1,44843,'call,1,,95504,'alvoko,0,
56397,50389,98334,1,50389,'love,1,,98334,'amo,0,
73638,63848,105153,1,63848,'an',1,,105153,'an',0,
93960,79885,112967,1,79885,'english,1,,112967,'angla,0,
32460,31678,88404,1,31678,'still,1,,88404,'ankoraŭ,0,
80220,68984,88404,1,68984,'yet,1,,88404,'ankoraŭ,0,
74859,64786,105622,1,64786,'ere,1,,105622,'antaŭ ol,0,
59567,52854,99606,1,52854,'before,1,,99606,'antaŭe,0,
52237,47095,96652,1,47095,'fore,1,,96652,'antaŭo,0,
82484,70787,108577,1,70787,'arf,1,,108577,'arf,0,
73684,63887,105170,1,63887,'art,1,,105170,'arto,0,
71078,61866,104164,1,61866,'wait,1,,104164,'atendu,0,
22898,24203,84243,1,24203,'scape,1,,84243,'azazel,0,
30406,30035,87529,1,30035,'or,1,,87529,'aŭ,0,
93255,79329,112698,1,79329,'hear,1,,112698,'aŭdi,0,
51129,46205,96197,1,46205,'listen,1,,96197,'aŭskulti,0,
82620,70885,108628,1,70885,'bda,1,,108628,'bda,0,
23266,24482,84410,1,24482,'pretty,1,,84410,'bela,0,
59693,52943,99660,1,52943,'blessed,1,,99660,'benata,0,
